Category,Score,World Rank,University Name
teaching,15.70,601-800,University of Central Lancashire
teaching,18.70,601-800,University of Cergy-Pontoise
teaching,19.30,601-800,Chang Gung University
teaching,23.20,601-800,Carlos III University of Madrid
teaching,21.60,601-800,"University of Chemistry and Technology, Prague"
teaching,17.80,601-800,Chiang Mai University
teaching,26.90,601-800,Chiba University
teaching,21.10,601-800,China University of Geosciences (Wuhan)
teaching,23.60,601-800,China University of Petroleum (Beijing)
teaching,19.70,601-800,Chonbuk National University
teaching,19.50,601-800,Chongqing University
teaching,17.50,601-800,Chonnam National University
teaching,23.80,601-800,Chulalongkorn University
teaching,15.90,601-800,Chung Yuan Christian University
teaching,23.20,601-800,Chungnam National University
teaching,21.40,601-800,Clemson University
teaching,23.00,601-800,Comenius University in Bratislava
teaching,17.10,601-800,Coventry University
teaching,22.60,601-800,Dalian University of Technology
teaching,17.30,601-800,University of Debrecen
teaching,29.80,601-800,University of Delhi
teaching,21.70,601-800,University of Dhaka
teaching,16.10,601-800,Dublin Institute of Technology
teaching,19.20,601-800,Ehime University
teaching,20.50,601-800,University of Electronic Science and Technology of China
teaching,21.30,601-800,Eötvös Loránd University
teaching,15.50,601-800,Erciyes University
teaching,18.20,601-800,Federal University of Bahia
teaching,27.90,601-800,Federal University of Minas Gerais
teaching,24.60,601-800,Federal University of Paraná (UFPR)
teaching,32.60,601-800,Federal University of Rio Grande do Sul
teaching,26.00,601-800,Federal University of Santa Catarina
teaching,29.00,601-800,Federal University of São Carlos
teaching,39.70,601-800,Federal University of Viçosa
teaching,25.80,601-800,Federal University of Lavras
teaching,14.60,601-800,Feng Chia University
teaching,20.40,601-800,Florida Institute of Technology
